"a","b","abs_diff","mean_ab","response"
0.246905042,0.000648508,0.246256534,0.123776775,0.532710280373832
0.249969568,0.001047119,0.248922449,0.1255083435,0.884892086330935
0.242039911,0.031514142,0.210525769,0.1367770265,0.0331325301204819
0.249658752,0.039904049,0.209754703,0.1447814005,0.672297297297297
0.236477077,0.017938353,0.218538724,0.127207715,0.642512077294686
0.241210307,0.014570518,0.226639789,0.1278904125,0.299445471349353
0.218953198,0.006175202,0.212777996,0.1125642,0.787190082644628
0.202502131,0.007516865,0.194985266,0.105009498,0.320486815415822
0.218953198,0.001094654,0.217858544,0.110023926,0.319488817891374
0.2494858,0.003817106,0.245668694,0.126651453,0.403174603174603
0.236477077,0.014570518,0.221906559,0.1255237975,0.403326403326403
0.241210307,0.003817106,0.237393201,0.1225137065,0.294921875
0.2494858,0.014570518,0.234915282,0.132028159,0.209090909090909
0.241210307,0.001094654,0.240115653,0.1211524805,0.351612903225806
0.199242937,0.008160753,0.191082184,0.103701845,0.42350332594235
0.232142586,0.008160753,0.223981833,0.1201516695,0.462776659959759
0.232142586,0.001094654,0.231047932,0.11661862,0.310650887573964
0.232142586,0.009585653,0.222556933,0.1208641195,0.367924528301887
0.232142586,0.001122346,0.23102024,0.116632466,0.299196787148594
0.236477077,0.002971585,0.233505492,0.119724331,0.274549098196393
0.23109375,0.000612745,0.230481005,0.1158532475,0.536585365853659
0.186878629,0.000648508,0.186230121,0.0937635685,0.0591549295774648
0.220347446,0.056465059,0.163882387,0.1384062525,0.700980392156863
0.247071616,0.003817106,0.24325451,0.125444361,0.155807365439093
0.246778278,0.017938353,0.228839925,0.1323583155,0.704280155642023
0.246778278,0.007516865,0.239261413,0.1271475715,0.683098591549296
0.249969453,0.017938353,0.2320311,0.133953903,0.713636363636364
0.249114094,0.007516865,0.241597229,0.1283154795,0.248898678414097
0.249969453,0.014570518,0.235398935,0.1322699855,0.25609756097561
0.249114094,0.007241179,0.241872915,0.1281776365,0.322
0.240715024,0.006175202,0.234539822,0.123445113,0.45
0.247071616,0.014570518,0.232501098,0.130821067,0.216842105263158
0.248706257,0.014570518,0.234135739,0.1316383875,0.343642611683849
0.248706257,0.003817106,0.244889151,0.1262616815,0.328042328042328
0.248831865,0.001122346,0.247709519,0.1249771055,0.269814502529511
0.244807216,0.007516865,0.237290351,0.1261620405,0.305263157894737
0.248706257,0.017385054,0.231321203,0.1330456555,0.351893095768374
0.248831865,0.012156938,0.236674927,0.1304944015,0.226
0.249969453,0.002971585,0.246997868,0.126470519,0.458181818181818
0.248706257,0.011748247,0.23695801,0.130227252,0.43854748603352
0.082172789,0.000612745,0.081560044,0.041392767,0.700819672131147
0.062439369,0.031514142,0.030925227,0.0469767555,0.557575757575758
0.082172789,0.000612745,0.081560044,0.041392767,0.316793893129771
0.082172789,0.056465059,0.02570773,0.069318924,0.621621621621622
0.062439369,0.031514142,0.030925227,0.0469767555,0.297560975609756
0.099701143,0.095649476,0.00405166700000001,0.0976753095,0.527980535279805
0.006321383,0.006175202,0.000146181,0.0062482925,0.288095238095238
0.007580188,0.007516865,6.33229999999997e-05,0.0075485265,0.336116910229645
0.026564919,0.003817106,0.022747813,0.0151910125,0.72029702970297
0.006321383,0.003817106,0.002504277,0.0050692445,0.29222972972973
0.007516865,0.002042814,0.005474051,0.0047798395,0.642599277978339
0.014570518,0.00053478,0.014035738,0.007552649,0.695238095238095
0.007241179,0.002042814,0.005198365,0.0046419965,0.545918367346939
0.003817106,0.00053478,0.003282326,0.002175943,0.570281124497992
0.009585653,0.006747377,0.002838276,0.008166515,0.369318181818182
0.198873918,0.162893036,0.035980882,0.180883477,0.303448275862069
0.208078838,0.186878629,0.021200209,0.1974787335,0.586666666666667
0.208078838,0.186878629,0.021200209,0.1974787335,0.0882352941176471
0.198873918,0.162893036,0.035980882,0.180883477,0.566037735849057
0.23109375,0.198873918,0.032219832,0.214983834,0.956521739130435
0.23109375,0.224771574,0.00632217599999998,0.227932662,0.418918918918919
0.162893036,0.155874455,0.007018581,0.1593837455,0.447488584474886
0.186878629,0.170288917,0.016589712,0.178583773,0.849358974358974
0.248197476,0.226437856,0.02175962,0.237317666,0.417112299465241
0.248197476,0.226437856,0.02175962,0.237317666,0.260504201680672
0.236999948,0.236911089,8.88589999999967e-05,0.2369555185,0.453488372093023
0.220347446,0.189772536,0.03057491,0.205059991,0.3203125
0.236999948,0.208795995,0.028203953,0.2228979715,0.149509803921569
0.249969453,0.150510054,0.099459399,0.2002397535,0.415254237288136
0.248706257,0.134439938,0.114266319,0.1915730975,0.539877300613497
0.248831865,0.134439938,0.114391927,0.1916359015,0.368715083798883
0.248706257,0.165161219,0.083545038,0.206933738,0.430604982206406
0.249969453,0.128093274,0.121876179,0.1890313635,0.277027027027027
0.248831865,0.088714462,0.160117403,0.1687731635,0.443775100401606
0.213130159,0.035842578,0.177287581,0.1244863685,0.404858299595142
